600050 中国联通 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/03	0931	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0932	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0933	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0934	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0935	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0936	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0937	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0938	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0939	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0940	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0941	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0942	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0943	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0944	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0945	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0946	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0947	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0948	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0949	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0950	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0951	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0952	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0953	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0954	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0955	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0956	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0957	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0958	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	0959	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1000	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1001	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1002	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1003	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1004	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1005	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1006	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1007	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1008	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1009	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1010	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1011	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1012	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1013	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1014	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1015	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1016	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1017	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1018	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1019	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1020	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1021	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1022	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1023	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1024	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1025	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1026	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1027	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1028	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1029	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1030	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1031	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1032	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1033	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1034	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1035	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1036	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1037	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1038	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1039	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1040	7.47	7.47	7.47	7.47	0	0.00
2017/05/03	1041	7.47	7.47	7.47	7.47	0	0.00
